,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1942,4,0.0,0.0,8700000,19800000,14,715,13500000,13400000,32000000,8500000,0.0
1943,0,1.0,0.0,1800000,5700000,20,392,3800000,2400000,3500000,1400000,1.0
1944,0,0.0,1.0,4700000,17700000,16,887,1300000,4900000,13200000,6700000,0.0
1945,0,1.0,0.0,7300000,21600000,2,479,17900000,12300000,15900000,7500000,1.0
1946,2,0.0,0.0,8400000,32100000,20,328,16300000,4600000,19500000,8000000,1.0
1947,2,0.0,1.0,4800000,12900000,8,740,9300000,900000,11000000,3700000,0.0
1948,2,0.0,0.0,9200000,34200000,2,456,12200000,11300000,25800000,5700000,0.0
1949,1,1.0,0.0,6200000,21100000,10,467,15600000,10500000,23500000,5300000,1.0
1950,0,0.0,1.0,200000,700000,10,587,-100000,100000,500000,100000,1.0
1951,0,1.0,1.0,2500000,6700000,16,569,4500000,3400000,6200000,1300000,0.0
1952,3,1.0,1.0,8000000,24400000,14,399,19100000,5400000,20600000,11600000,1.0
1953,1,1.0,0.0,4600000,15200000,4,593,13800000,3800000,11700000,3900000,0.0
1954,3,1.0,1.0,4900000,12700000,8,409,2000000,2500000,19300000,4700000,1.0
1955,4,1.0,0.0,9500000,21300000,18,353,22900000,2300000,21400000,11100000,1.0
1956,5,0.0,1.0,4500000,11600000,20,306,4800000,1900000,11900000,5700000,1.0
1957,2,0.0,1.0,5900000,14200000,12,499,9200000,11600000,20200000,4400000,1.0
1958,4,0.0,0.0,4200000,14600000,6,324,6300000,5900000,11700000,3000000,1.0
1959,2,1.0,1.0,3300000,11300000,6,647,5100000,6000000,12800000,4400000,0.0
1960,2,0.0,1.0,4900000,12600000,2,767,1100000,7400000,13000000,3800000,0.0
1961,4,1.0,0.0,5300000,10700000,12,821,15400000,10200000,17600000,2600000,0.0
1962,4,1.0,0.0,7200000,17700000,6,338,9900000,9300000,27800000,7200000,1.0
1963,0,0.0,0.0,8400000,24300000,4,785,11900000,10100000,26600000,8500000,0.0
1964,3,0.0,0.0,3800000,11800000,4,694,0,500000,8300000,5100000,0.0
1965,0,1.0,0.0,9900000,22300000,20,613,28400000,8900000,23600000,4900000,0.0
1966,4,0.0,1.0,2900000,8300000,10,318,8700000,4100000,10900000,2100000,1.0
1967,3,1.0,1.0,6000000,18700000,18,783,2800000,8500000,20300000,8800000,0.0
1968,2,1.0,0.0,1700000,5300000,20,761,2500000,500000,3700000,1200000,0.0
1969,4,0.0,1.0,5300000,12000000,10,329,15300000,9300000,17300000,6100000,1.0
1970,5,1.0,1.0,7500000,15000000,14,661,12100000,5800000,29900000,4400000,0.0
1971,4,1.0,0.0,400000,900000,18,339,700000,200000,800000,200000,1.0
1972,1,0.0,1.0,8300000,17700000,10,673,23700000,5300000,28700000,4200000,0.0
1973,3,0.0,0.0,4500000,16900000,18,748,8500000,7200000,15100000,6600000,0.0
1974,3,0.0,0.0,4600000,10000000,4,702,6800000,1500000,16100000,4500000,0.0
1975,4,1.0,0.0,4700000,10300000,12,710,7500000,7700000,16900000,6600000,0.0
1976,0,0.0,1.0,900000,3500000,6,331,2400000,1400000,3500000,1100000,1.0
1977,1,1.0,0.0,2400000,7600000,12,372,5700000,4400000,6600000,1400000,1.0
1978,0,1.0,1.0,3900000,9600000,10,783,9900000,2100000,10900000,3900000,0.0
1979,0,0.0,0.0,8300000,31400000,18,558,13300000,2900000,25900000,6300000,0.0
1980,4,0.0,1.0,4700000,13000000,6,552,5600000,8300000,11900000,2400000,0.0
1981,4,1.0,0.0,3900000,10600000,20,544,4100000,3100000,10900000,4900000,1.0
1982,2,1.0,0.0,400000,1000000,6,425,800000,300000,800000,200000,1.0
1983,2,1.0,1.0,1700000,5100000,18,321,2000000,2800000,5100000,1500000,1.0
1984,2,0.0,1.0,6100000,15500000,8,758,8900000,4000000,13300000,7200000,0.0
1985,5,0.0,1.0,7300000,19600000,10,373,10400000,4700000,19500000,10600000,1.0
1986,3,1.0,1.0,300000,500000,6,876,300000,100000,1100000,300000,0.0
1987,2,1.0,0.0,4300000,14500000,10,594,11400000,700000,14000000,5300000,0.0
1988,3,1.0,0.0,7000000,18400000,18,837,2800000,7900000,15400000,5700000,0.0
1989,0,1.0,1.0,4900000,16500000,4,600,11100000,2200000,12000000,6500000,0.0
1990,4,0.0,0.0,6200000,12400000,20,547,14200000,10800000,17200000,8000000,1.0
1991,1,1.0,0.0,4100000,15800000,12,431,9700000,7300000,15200000,5700000,1.0
1992,0,1.0,1.0,7300000,22600000,12,851,3300000,3400000,24800000,5300000,0.0
1993,4,1.0,1.0,9200000,28100000,12,760,23200000,9700000,22300000,12900000,0.0
1994,0,1.0,0.0,800000,2400000,2,716,700000,1200000,3100000,400000,0.0
1995,4,1.0,0.0,2900000,11200000,10,744,6600000,4000000,7300000,1600000,0.0
1996,3,1.0,0.0,8100000,21600000,4,740,22400000,3700000,16900000,9900000,0.0
1997,0,0.0,0.0,9300000,20300000,14,759,27000000,11600000,26500000,10900000,0.0
1998,4,0.0,1.0,9200000,29400000,14,517,4900000,0,33500000,10100000,1.0
1999,3,1.0,1.0,3100000,6300000,18,895,2300000,3400000,10500000,4200000,0.0
2000,3,1.0,1.0,7000000,15400000,20,315,19900000,7600000,16400000,5900000,1.0
2001,4,1.0,0.0,3900000,8800000,14,527,4600000,4900000,14900000,3100000,1.0
2002,3,0.0,0.0,5500000,19800000,14,853,7300000,3000000,15500000,3100000,0.0
2003,0,0.0,0.0,6600000,13700000,20,747,3600000,2400000,23900000,6000000,0.0
2004,2,1.0,0.0,9900000,31600000,16,892,4200000,17500000,31400000,12700000,0.0
2005,4,0.0,1.0,6600000,20500000,8,856,18800000,5400000,15100000,9400000,0.0
2006,3,0.0,0.0,8600000,23600000,4,324,13800000,3800000,28500000,4300000,1.0
2007,5,0.0,0.0,7900000,28600000,12,812,12100000,14400000,30000000,11700000,0.0
2008,5,0.0,1.0,6800000,22600000,2,804,3500000,12500000,18200000,9900000,0.0
2009,4,0.0,0.0,700000,1800000,8,874,1600000,1000000,1300000,300000,0.0
2010,2,1.0,1.0,3800000,10000000,12,516,2400000,4200000,14200000,5100000,1.0
2011,5,0.0,1.0,6900000,18300000,4,402,12600000,13100000,23200000,6100000,1.0
2012,1,0.0,1.0,3700000,12400000,12,330,3400000,1000000,10400000,2800000,1.0
2013,1,0.0,0.0,7900000,24000000,12,867,20500000,10000000,30700000,9400000,0.0
2014,4,0.0,1.0,8800000,34200000,16,844,18700000,11000000,20700000,10700000,0.0
2015,5,1.0,1.0,3300000,7800000,8,310,3000000,3900000,8300000,4200000,1.0
2016,4,1.0,0.0,5800000,14200000,20,535,10200000,4000000,21100000,3400000,1.0
2017,1,0.0,1.0,7400000,29500000,16,323,10000000,4400000,29400000,8100000,1.0
2018,1,0.0,0.0,8200000,25600000,4,686,2000000,5900000,17300000,4400000,0.0
2019,0,1.0,1.0,3300000,9600000,8,465,6100000,700000,9700000,2000000,1.0
2020,4,0.0,1.0,5300000,10700000,12,547,1000000,10200000,11600000,5700000,1.0
2021,1,1.0,0.0,5700000,19100000,12,649,9400000,10200000,16400000,4500000,0.0
2022,2,1.0,0.0,9000000,31000000,14,670,21300000,5400000,31100000,12900000,0.0
2023,3,0.0,0.0,5900000,14400000,10,408,2400000,5100000,23000000,3700000,1.0
2024,2,1.0,0.0,5400000,11900000,6,303,15000000,9200000,15400000,6900000,1.0
2025,0,0.0,0.0,9800000,34800000,14,497,3000000,2200000,23800000,9600000,1.0
2026,4,0.0,1.0,9800000,34100000,14,740,6500000,16900000,27100000,5100000,0.0
2027,4,1.0,1.0,3800000,8200000,4,309,10900000,3900000,10200000,3300000,1.0
2028,0,1.0,0.0,9500000,24400000,14,769,14400000,2400000,30800000,14200000,0.0
2029,3,0.0,1.0,2500000,7100000,6,420,3800000,3300000,8700000,3000000,1.0
2030,1,0.0,0.0,1900000,6000000,20,540,1100000,1400000,4300000,1300000,1.0
2031,5,0.0,1.0,4400000,10600000,20,806,9700000,3600000,10800000,2500000,0.0
2032,4,0.0,1.0,1400000,2900000,6,723,3800000,0,4700000,1600000,0.0
2033,5,1.0,1.0,3200000,11800000,16,565,8100000,2700000,9200000,1800000,0.0
2034,1,0.0,1.0,3100000,9200000,16,374,2400000,3500000,7100000,3500000,1.0
2035,4,0.0,0.0,4500000,9900000,10,509,11100000,3100000,12200000,2700000,1.0
2036,3,1.0,1.0,9300000,23500000,16,728,3500000,9900000,27300000,9800000,0.0
2037,2,0.0,0.0,6900000,18200000,20,396,15600000,4300000,22900000,5400000,1.0
2038,0,1.0,1.0,3900000,8600000,2,667,4300000,6600000,13500000,2000000,0.0
2039,5,1.0,0.0,3200000,7400000,12,583,9400000,5500000,10600000,3600000,0.0
2040,1,1.0,1.0,5600000,21100000,10,459,9700000,1400000,13900000,8100000,1.0
2041,4,1.0,1.0,3700000,11900000,18,635,6100000,6400000,11200000,4700000,0.0
2042,3,1.0,0.0,8400000,27200000,12,604,21400000,8800000,23700000,4700000,0.0
2043,0,1.0,1.0,4200000,8900000,14,796,3000000,1600000,13300000,4800000,0.0
2044,4,0.0,0.0,3800000,8500000,10,416,6200000,4800000,14900000,4100000,1.0
2045,3,0.0,0.0,3200000,8200000,8,311,4900000,5600000,10700000,1600000,1.0
2046,1,0.0,0.0,9700000,33900000,10,833,24600000,16200000,28300000,6600000,0.0
2047,1,1.0,1.0,4300000,9400000,6,543,7400000,5200000,14800000,4200000,1.0
2048,5,0.0,1.0,8100000,20300000,18,751,1600000,7900000,31700000,7400000,0.0
2049,5,1.0,1.0,9400000,23200000,14,885,16900000,1200000,34900000,4700000,0.0
2050,4,1.0,1.0,8100000,19400000,6,346,7800000,9300000,29300000,4500000,1.0
2051,4,0.0,0.0,6500000,14500000,4,588,10300000,9500000,22800000,6400000,0.0
2052,2,0.0,0.0,9400000,23100000,4,488,20100000,3500000,28600000,10900000,1.0
2053,1,1.0,1.0,2600000,6600000,20,765,2100000,200000,5200000,1300000,0.0
2054,3,1.0,1.0,8000000,25600000,6,337,8800000,500000,18900000,9800000,1.0
2055,1,0.0,0.0,4700000,9300000,8,515,1000000,4700000,14600000,5700000,1.0
2056,2,0.0,1.0,7600000,22300000,12,555,2100000,13800000,17700000,7100000,0.0
2057,1,0.0,1.0,6800000,27200000,2,702,4600000,2400000,27100000,6300000,0.0
2058,2,1.0,1.0,6600000,17000000,2,457,100000,1800000,23300000,6700000,1.0
2059,2,0.0,0.0,8200000,27200000,10,425,11400000,4900000,29300000,4500000,1.0
2060,1,0.0,1.0,4400000,12300000,6,583,2400000,7900000,17200000,6600000,0.0
2061,1,1.0,0.0,8300000,29200000,6,877,13700000,9900000,31500000,9500000,0.0
2062,0,0.0,0.0,9200000,36500000,14,522,10500000,5300000,22400000,13200000,1.0
2063,5,1.0,1.0,2700000,8700000,20,687,2600000,1200000,9000000,1300000,0.0
2064,0,0.0,0.0,6100000,23600000,20,856,3300000,5200000,17700000,6400000,0.0
2065,4,1.0,1.0,9100000,33000000,8,543,15700000,14400000,19500000,11200000,1.0
2066,5,1.0,1.0,7600000,15400000,14,576,2300000,2800000,24500000,4700000,0.0
2067,2,1.0,0.0,7200000,17000000,10,856,18100000,12700000,15800000,6000000,0.0
2068,0,0.0,1.0,2600000,8200000,8,722,3500000,4200000,7100000,3200000,0.0
2069,4,0.0,1.0,6500000,20200000,12,653,18600000,1400000,23800000,6400000,0.0
2070,5,0.0,0.0,8900000,35500000,16,480,17200000,11300000,25200000,4900000,1.0
2071,2,0.0,1.0,5400000,14300000,14,477,10200000,700000,11100000,5500000,1.0
2072,0,0.0,0.0,300000,500000,2,885,200000,400000,700000,200000,0.0
2073,0,1.0,0.0,8400000,19600000,18,530,17000000,3600000,24200000,12300000,1.0
2074,3,0.0,0.0,8300000,17200000,8,870,4700000,8800000,18300000,10000000,0.0
2075,4,1.0,0.0,1700000,5600000,8,395,2700000,800000,3500000,2400000,1.0
2076,2,1.0,0.0,1500000,4200000,16,771,2500000,800000,5700000,1100000,0.0
2077,1,1.0,1.0,200000,500000,2,579,500000,100000,500000,100000,0.0
2078,1,0.0,1.0,1000000,3700000,14,798,2000000,200000,3800000,1400000,0.0
2079,3,1.0,1.0,8800000,25100000,8,473,17200000,600000,24400000,12400000,1.0
2080,0,0.0,1.0,1000000,3200000,8,304,500000,600000,3700000,700000,1.0
2081,0,1.0,1.0,8600000,23000000,14,678,18800000,16400000,22900000,12000000,0.0
2082,5,0.0,1.0,2400000,8900000,2,745,1700000,2000000,9200000,2100000,0.0
2083,1,0.0,0.0,2400000,8900000,8,835,2400000,1200000,5500000,1100000,0.0
2084,5,1.0,1.0,6000000,12100000,20,848,13900000,4800000,18000000,3600000,0.0
2085,5,1.0,0.0,7600000,16300000,18,872,5100000,1900000,20700000,5000000,0.0
2086,3,1.0,0.0,8000000,20100000,10,608,9800000,15500000,26100000,5200000,0.0
2087,0,0.0,1.0,5400000,19500000,16,758,2600000,2700000,18300000,6000000,0.0
2088,0,1.0,1.0,1400000,3700000,4,841,3000000,1000000,4600000,1000000,0.0
2089,0,1.0,1.0,800000,2600000,2,618,300000,1200000,2000000,500000,0.0
2090,4,0.0,1.0,300000,1100000,4,457,700000,100000,1100000,400000,0.0
2091,0,0.0,0.0,4100000,14400000,4,844,2700000,6000000,9900000,4200000,0.0
2092,2,1.0,0.0,1500000,3800000,4,776,2800000,0,5300000,1400000,0.0
2093,1,1.0,0.0,4600000,13900000,8,520,13300000,6400000,9800000,2200000,1.0
2094,1,0.0,1.0,3300000,7500000,12,648,6400000,1700000,8700000,1600000,0.0
2095,4,1.0,1.0,7900000,31400000,10,654,16500000,15200000,25400000,5000000,0.0
2096,0,1.0,0.0,8100000,26500000,20,342,5800000,5600000,23700000,5800000,1.0
2097,5,1.0,0.0,900000,2800000,16,808,2100000,900000,3100000,800000,0.0
2098,1,0.0,1.0,4900000,15200000,10,429,5700000,7300000,14400000,3300000,1.0
2099,3,0.0,1.0,6100000,18100000,14,538,11800000,4200000,16200000,7500000,1.0
2100,3,1.0,0.0,4500000,16400000,6,533,1800000,5600000,12200000,3900000,1.0
2101,2,0.0,1.0,2900000,7300000,8,394,7700000,2600000,7700000,4000000,1.0
2102,1,1.0,0.0,7900000,29300000,2,771,17600000,12800000,20400000,4000000,0.0
2103,5,0.0,1.0,4100000,10100000,4,792,4400000,6100000,8600000,4900000,0.0
2104,5,1.0,1.0,7700000,15500000,8,407,6500000,9100000,26300000,4600000,1.0
2105,0,1.0,0.0,5600000,19300000,18,544,6400000,2800000,19900000,6400000,1.0
2106,5,0.0,0.0,9000000,18000000,18,509,24600000,5200000,20000000,6100000,1.0
2107,4,1.0,1.0,6400000,18400000,16,320,17700000,3600000,13900000,8300000,1.0
2108,4,0.0,0.0,6900000,14700000,2,496,12000000,7000000,15500000,4000000,1.0
2109,3,1.0,0.0,9100000,27400000,18,652,8500000,7300000,31700000,6800000,0.0
2110,2,0.0,1.0,1100000,3700000,2,806,2700000,800000,2900000,500000,0.0
2111,4,1.0,0.0,1700000,4500000,12,821,3200000,1900000,4900000,1500000,0.0
2112,5,0.0,1.0,9200000,28800000,20,618,14300000,10800000,33900000,10600000,0.0
2113,2,1.0,1.0,8300000,20600000,12,729,22400000,9000000,31400000,8400000,0.0
2114,5,1.0,1.0,5000000,10600000,6,839,12600000,8600000,19800000,3500000,0.0
2115,3,0.0,0.0,2200000,6400000,2,318,1400000,2100000,4300000,1500000,1.0
2116,2,0.0,0.0,4500000,9600000,16,404,1800000,6000000,17000000,2700000,1.0
2117,5,1.0,1.0,4100000,9000000,6,581,6600000,1500000,11300000,3400000,0.0
2118,1,1.0,0.0,2800000,6800000,18,596,7900000,400000,7300000,1500000,0.0
2119,1,1.0,0.0,6600000,20700000,4,415,12800000,11900000,17700000,3900000,0.0
2120,3,1.0,1.0,3200000,7200000,6,728,4800000,2000000,8000000,4600000,0.0
2121,0,1.0,0.0,6300000,13300000,2,666,8800000,4000000,14200000,4900000,0.0
2122,2,0.0,0.0,4700000,17700000,14,675,5800000,7200000,13100000,6500000,0.0
2123,0,0.0,0.0,4100000,15400000,16,304,3000000,5200000,16200000,3100000,1.0
2124,5,0.0,1.0,7100000,15500000,4,474,7600000,9000000,22400000,9400000,1.0
2125,4,0.0,1.0,4900000,10200000,18,370,10900000,2200000,13700000,6600000,1.0
2126,4,0.0,0.0,5600000,20300000,20,596,5100000,10900000,12700000,7900000,0.0
2127,4,0.0,0.0,3400000,8300000,2,567,5700000,1900000,10200000,2700000,0.0
2128,3,1.0,0.0,4500000,16100000,16,671,10500000,3600000,12400000,5800000,0.0
2129,2,0.0,0.0,300000,800000,18,819,300000,300000,900000,400000,0.0
2130,5,1.0,1.0,7600000,23000000,10,829,3100000,7300000,17600000,7300000,0.0
2131,5,0.0,0.0,500000,1200000,12,454,1400000,500000,1000000,300000,1.0
2132,0,0.0,1.0,5900000,15200000,16,399,15200000,3200000,12200000,6500000,1.0
2133,0,0.0,0.0,7100000,20700000,10,784,9500000,11400000,27900000,8600000,0.0
2134,2,1.0,1.0,8500000,26900000,6,538,21300000,16400000,21500000,4600000,1.0
2135,0,0.0,1.0,6400000,16900000,16,759,16200000,7100000,15200000,3100000,0.0
2136,2,0.0,0.0,7100000,21400000,12,699,11400000,13400000,22600000,4800000,0.0
2137,5,1.0,0.0,1800000,5400000,14,347,3800000,1300000,4900000,1700000,1.0
2138,3,1.0,1.0,6600000,25200000,20,598,13100000,3600000,20700000,8600000,0.0
2139,4,0.0,1.0,8800000,27100000,2,406,16300000,6200000,26100000,5800000,0.0
2140,2,1.0,0.0,4800000,15800000,20,860,1700000,3300000,13400000,5100000,0.0
2141,5,0.0,1.0,4400000,16500000,10,806,3500000,4400000,11200000,2800000,0.0
2142,0,1.0,0.0,2000000,6900000,2,448,2700000,3800000,7100000,1600000,0.0
2143,2,0.0,0.0,6800000,22600000,20,393,2100000,2200000,20300000,8200000,1.0
2144,5,1.0,1.0,6600000,16000000,12,811,13100000,5000000,14700000,5000000,0.0
2145,2,0.0,0.0,3300000,7900000,20,829,4800000,2100000,13200000,2600000,0.0
2146,3,1.0,0.0,7400000,23400000,16,700,19300000,3000000,20700000,8900000,0.0
2147,0,1.0,1.0,4500000,12400000,18,719,10300000,200000,9200000,3100000,0.0
2148,1,1.0,1.0,9500000,30500000,12,430,5400000,8000000,30800000,10500000,1.0
2149,1,0.0,0.0,800000,3000000,4,338,900000,1000000,2600000,400000,0.0
2150,2,0.0,0.0,4000000,13000000,4,695,6400000,6900000,15400000,4300000,0.0
2151,2,1.0,0.0,7000000,25700000,18,374,3400000,13700000,14900000,4500000,1.0
2152,3,0.0,0.0,3500000,8500000,18,609,7300000,0,12700000,2500000,0.0
2153,3,0.0,1.0,9700000,36000000,6,631,3500000,5500000,28500000,7500000,0.0
2154,0,1.0,0.0,3400000,10800000,6,439,5300000,1400000,11600000,1900000,1.0
2155,1,0.0,1.0,4600000,13500000,20,837,5600000,7700000,11900000,2500000,0.0
2156,4,0.0,0.0,3800000,10400000,10,833,7500000,2500000,14100000,4200000,0.0
2157,4,1.0,1.0,4200000,9600000,20,863,7400000,900000,9100000,3400000,0.0
2158,2,0.0,0.0,2500000,8700000,4,684,0,600000,9700000,2600000,0.0
2159,0,1.0,1.0,7000000,24600000,6,542,6400000,2600000,24500000,4700000,1.0
2160,1,1.0,0.0,5300000,11500000,8,753,10000000,4200000,14400000,3000000,0.0
2161,0,1.0,0.0,6400000,14200000,2,512,1600000,9200000,23100000,3500000,1.0
2162,3,1.0,0.0,3400000,8100000,12,385,6100000,4000000,10700000,4000000,1.0
2163,4,1.0,0.0,6700000,18800000,2,749,15600000,7900000,19900000,8600000,0.0
2164,1,1.0,1.0,4600000,10100000,4,618,2200000,100000,12900000,4300000,0.0
2165,4,0.0,1.0,900000,2500000,4,583,1300000,800000,1800000,1100000,0.0
2166,0,0.0,0.0,5100000,19900000,18,655,4400000,0,17100000,7100000,0.0
2167,0,1.0,1.0,7000000,20900000,20,380,11800000,10800000,21100000,6200000,1.0
2168,3,0.0,1.0,4100000,14700000,6,679,6600000,3700000,10500000,5600000,0.0
2169,2,0.0,0.0,4600000,14800000,6,410,12900000,6800000,16100000,5800000,1.0
2170,2,0.0,1.0,3600000,11500000,8,590,1600000,5200000,10900000,3000000,0.0
2171,5,0.0,0.0,5900000,13800000,14,397,12400000,600000,20400000,3000000,1.0
2172,2,0.0,0.0,600000,2100000,16,425,900000,500000,2300000,300000,1.0
2173,0,0.0,0.0,4900000,16400000,2,383,3300000,3500000,15000000,5800000,0.0
2174,5,0.0,1.0,6400000,23900000,6,406,14700000,12400000,25400000,4300000,1.0
2175,2,0.0,0.0,7000000,19800000,10,563,3900000,9400000,22800000,8000000,0.0
2176,3,0.0,1.0,6700000,13400000,14,782,4900000,4000000,25800000,9600000,0.0
2177,1,1.0,1.0,800000,2200000,4,852,900000,200000,2200000,1000000,0.0
2178,5,1.0,0.0,7600000,27800000,2,753,18400000,12200000,16900000,8000000,0.0
2179,5,0.0,1.0,3200000,7600000,4,489,5000000,2900000,10600000,1900000,1.0
2180,2,1.0,1.0,4900000,13800000,2,586,9900000,1400000,9900000,7000000,0.0
2181,3,1.0,0.0,7200000,20800000,16,560,2100000,10700000,21100000,3600000,0.0
2182,3,0.0,0.0,5600000,20600000,6,487,6400000,9700000,20200000,4100000,1.0
2183,4,0.0,1.0,7300000,18300000,8,434,10000000,2900000,26800000,6700000,1.0
2184,4,1.0,0.0,3300000,7000000,20,504,8200000,3200000,7300000,2500000,1.0
2185,2,0.0,1.0,9200000,25300000,4,827,25900000,15900000,19300000,11000000,0.0
2186,3,1.0,1.0,8100000,23300000,20,657,15700000,2900000,28100000,6200000,0.0
2187,5,0.0,0.0,6600000,21400000,10,447,12700000,11100000,20200000,6400000,1.0
2188,0,0.0,1.0,4200000,13600000,4,834,8700000,3400000,12000000,3100000,0.0
2189,2,0.0,0.0,5800000,21700000,8,354,12500000,2300000,12200000,6800000,1.0
2190,2,0.0,1.0,5600000,21000000,18,883,9800000,1600000,20900000,6000000,0.0
2191,0,1.0,1.0,3600000,9900000,12,641,10300000,2400000,9100000,2700000,0.0
2192,1,0.0,1.0,7700000,16900000,6,621,22600000,7900000,27400000,10200000,0.0
2193,0,0.0,1.0,7800000,23300000,10,587,12500000,9300000,27500000,9700000,0.0
2194,3,1.0,0.0,5700000,15400000,16,424,4700000,3000000,16400000,5600000,1.0
2195,5,0.0,0.0,6300000,20500000,14,515,4300000,3600000,18300000,9100000,1.0
2196,5,1.0,1.0,2300000,4700000,18,592,1600000,3900000,6200000,2800000,0.0
2197,4,0.0,1.0,9600000,19900000,6,319,3200000,16500000,28100000,6600000,1.0
2198,1,1.0,1.0,1000000,3900000,16,360,2500000,300000,2100000,600000,1.0
2199,5,0.0,1.0,7200000,27100000,12,535,8400000,12800000,28100000,4800000,1.0
2200,2,1.0,1.0,3800000,11400000,16,666,9000000,2400000,8000000,3800000,0.0
2201,4,1.0,1.0,9300000,24600000,16,419,18100000,0,26700000,5100000,1.0
2202,2,1.0,1.0,7200000,21900000,12,640,0,11400000,14600000,3800000,0.0
2203,0,0.0,0.0,7600000,19700000,12,545,4300000,5200000,29500000,7300000,1.0
2204,4,0.0,0.0,4500000,15300000,10,843,13200000,6900000,10800000,2200000,0.0
2205,1,1.0,1.0,9900000,30900000,20,559,12100000,6100000,38600000,12100000,0.0
2206,0,1.0,1.0,700000,2000000,18,650,400000,1300000,2800000,500000,0.0
2207,0,0.0,0.0,3500000,12300000,16,479,9700000,6000000,7900000,4700000,1.0
2208,1,0.0,1.0,300000,1000000,14,324,100000,100000,1100000,100000,1.0
2209,5,1.0,1.0,5400000,16700000,2,354,1100000,4500000,19300000,5200000,0.0
2210,4,1.0,1.0,2800000,8400000,10,521,1500000,1200000,9100000,3700000,1.0
2211,5,1.0,1.0,4900000,15900000,8,505,12400000,4900000,14900000,6100000,1.0
2212,4,1.0,0.0,600000,1700000,12,436,400000,0,1700000,700000,1.0
2213,0,0.0,0.0,3000000,8100000,6,683,3200000,4900000,10200000,3200000,0.0
2214,0,0.0,0.0,1800000,5800000,18,348,2900000,700000,6700000,1000000,1.0
2215,4,0.0,1.0,5100000,15700000,6,867,11200000,8300000,19200000,3600000,0.0
2216,5,0.0,0.0,1400000,4100000,14,880,3700000,1800000,2800000,2100000,0.0
2217,2,0.0,1.0,6700000,25500000,10,673,11100000,8600000,25100000,5000000,0.0
2218,3,1.0,0.0,4300000,12600000,18,482,9300000,900000,13200000,6100000,1.0
2219,3,0.0,1.0,7800000,19600000,4,767,18100000,10500000,20500000,7700000,0.0
2220,3,1.0,0.0,5400000,15800000,18,760,12700000,2300000,16400000,7200000,0.0
2221,0,1.0,0.0,500000,1900000,2,857,1100000,500000,1800000,300000,0.0
2222,1,0.0,0.0,8600000,26700000,10,735,11800000,9100000,20700000,11200000,0.0
2223,3,0.0,0.0,2500000,9300000,4,810,2700000,3300000,9400000,3700000,0.0
2224,4,1.0,0.0,3000000,7200000,2,680,900000,3400000,9600000,1700000,0.0
2225,5,1.0,1.0,7000000,26900000,4,889,1400000,4200000,22400000,7400000,0.0
2226,1,1.0,1.0,400000,1500000,16,688,400000,300000,1200000,200000,0.0
2227,5,1.0,0.0,5200000,13700000,16,531,8800000,4500000,15700000,2900000,1.0
2228,3,0.0,0.0,3300000,11100000,2,660,6500000,3700000,12300000,4500000,0.0
2229,1,1.0,1.0,2400000,8800000,18,414,3600000,2200000,7100000,2500000,1.0
2230,4,0.0,1.0,5800000,15800000,14,528,6300000,100000,21400000,8700000,1.0
2231,4,1.0,1.0,9400000,20000000,12,817,3600000,1600000,34400000,8000000,0.0
2232,2,1.0,0.0,6100000,15300000,2,799,7100000,5500000,17800000,5300000,0.0
2233,1,0.0,1.0,7500000,21400000,20,655,13000000,10300000,28100000,8100000,0.0
2234,2,1.0,0.0,4100000,16200000,6,546,3500000,3100000,15100000,3700000,1.0
2235,3,1.0,0.0,8500000,30800000,14,745,11000000,8200000,19400000,7200000,0.0
2236,0,0.0,0.0,4300000,16900000,8,884,6500000,5400000,12000000,3700000,0.0
2237,5,1.0,0.0,9300000,22000000,4,822,20900000,10000000,24200000,12100000,0.0
2238,4,1.0,0.0,6000000,18700000,2,623,4300000,4000000,19100000,5700000,0.0
2239,1,1.0,1.0,5300000,18900000,16,361,300000,5000000,11900000,5500000,1.0
2240,5,1.0,1.0,7400000,16200000,2,778,17000000,2700000,19400000,9200000,0.0
2241,1,1.0,1.0,1100000,3800000,8,779,600000,1800000,4000000,1600000,0.0
2242,1,0.0,1.0,6600000,20700000,4,594,4800000,200000,26400000,8900000,0.0
2243,3,0.0,0.0,8200000,28300000,2,530,15000000,10500000,20200000,12100000,0.0
2244,3,1.0,0.0,3300000,9300000,12,324,5300000,2600000,7500000,2000000,1.0
2245,4,0.0,1.0,2500000,9000000,10,394,6700000,2000000,7300000,3000000,1.0
2246,3,0.0,1.0,3300000,10400000,12,816,7100000,6300000,11800000,4900000,0.0
2247,5,1.0,0.0,1000000,2300000,16,423,1700000,700000,2900000,1400000,1.0
2248,5,0.0,1.0,6200000,12800000,2,539,5600000,9800000,22300000,4800000,1.0
2249,1,0.0,0.0,7000000,21000000,20,554,16900000,6600000,14600000,5600000,0.0
2250,2,0.0,1.0,7000000,19000000,6,523,5300000,9300000,25800000,9500000,1.0
2251,1,1.0,1.0,5300000,12000000,10,852,400000,10400000,18900000,5000000,0.0
2252,0,1.0,1.0,1800000,3700000,2,505,3900000,2400000,4500000,1400000,1.0
2253,0,0.0,1.0,2300000,7900000,10,430,6600000,2800000,8100000,1900000,1.0
